,0
963,surprised
964,sad
965,angry
966,disgusted
967,fearful
968,disgusted
969,neutral
970,angry
971,sad
972,angry
973,disgusted
974,fearful
975,happy
976,neutral
977,surprised
978,sad
979,angry
980,disgusted
981,fearful
982,happy
983,neutral
984,surprised
985,sad
986,angry
987,disgusted
988,fearful
989,happy
990,neutral
991,surprised
992,sad
993,angry
994,disgusted
995,fearful
996,happy
997,neutral
998,surprised
999,happy
1000,angry
1001,disgusted
1002,fearful
1003,happy
1004,neutral
1005,surprised
1006,happy
1007,angry
1008,disgusted
1009,fearful
1010,disgusted
1011,neutral
1012,surprised
1013,sad
1014,angry
1015,disgusted
1016,fearful
1017,happy
1018,neutral
1019,surprised
1020,sad
1021,angry
1022,disgusted
1023,fearful
1024,happy
1025,neutral
1026,surprised
1027,happy
1028,angry
1029,disgusted
1030,fearful
1031,happy
1032,neutral
1033,surprised
1034,sad
1035,angry
1036,disgusted
1037,fearful
1038,happy
1039,neutral
1040,surprised
1041,sad
1042,angry
1043,disgusted
1044,fearful
1045,happy
1046,neutral
1047,surprised
1048,sad
1049,angry
1050,disgusted
1051,fearful
1052,happy
1053,neutral
1054,surprised
1055,sad
1056,angry
1057,disgusted
1058,fearful
1059,happy
1060,neutral
1061,surprised
1062,sad
1063,angry
1064,disgusted
1065,fearful
1066,happy
1067,neutral
1068,surprised
1069,sad
1070,angry
1071,disgusted
1072,fearful
1073,happy
1074,neutral
1075,surprised
1076,sad
1077,angry
1078,disgusted
1079,fearful
1080,disgusted
1081,neutral
1082,surprised
1083,sad
1084,angry
1085,disgusted
1086,fearful
1087,happy
1088,neutral
1089,surprised
1090,sad
1091,angry
1092,disgusted
1093,fearful
1094,happy
1095,neutral
1096,surprised
1097,sad
1098,angry
1099,disgusted
1100,fearful
1101,happy
1102,neutral
1103,angry
1104,sad
1105,angry
1106,disgusted
1107,fearful
1108,happy
1109,neutral
1110,surprised
1111,sad
1112,angry
1113,disgusted
1114,fearful
1115,happy
1116,neutral
1117,surprised
1118,sad
1119,angry
1120,disgusted
1121,fearful
1122,happy
1123,neutral
1124,surprised
1125,happy
1126,angry
1127,disgusted
1128,fearful
1129,happy
1130,neutral
1131,surprised
1132,sad
1133,angry
1134,disgusted
1135,fearful
1136,happy
1137,neutral
1138,surprised
1139,happy
1140,angry
1141,disgusted
1142,fearful
1143,happy
1144,neutral
1145,surprised
1146,sad
1147,angry
1148,disgusted
1149,fearful
1150,happy
1151,neutral
1152,surprised
1153,sad
1154,angry
1155,disgusted
1156,fearful
1157,happy
1158,neutral
1159,surprised
1160,sad
1161,angry
1162,disgusted
1163,fearful
1164,happy
1165,neutral
1166,surprised
1167,sad
1168,angry
1169,disgusted
1170,fearful
1171,happy
1172,neutral
1173,angry
1174,sad
1175,angry
1176,disgusted
1177,fearful
1178,happy
1179,neutral
1180,surprised
1181,sad
1182,neutral
1183,disgusted
1184,fearful
1185,neutral
1186,neutral
1187,surprised
1188,sad
1189,angry
1190,disgusted
1191,fearful
1192,disgusted
1193,neutral
1194,surprised
1195,sad
1196,angry
1197,disgusted
1198,fearful
1199,happy
1200,neutral
1201,happy
1202,sad
1203,angry
1204,disgusted
1205,fearful
1206,happy
1207,neutral
1208,surprised
1209,sad
1210,angry
1211,disgusted
1212,fearful
1213,happy
1214,neutral
1215,surprised
1216,sad
1217,angry
1218,disgusted
1219,fearful
1220,happy
1221,neutral
1222,surprised
1223,sad
1224,angry
1225,disgusted
1226,fearful
1227,happy
1228,neutral
1229,surprised
1230,sad
1231,neutral
1232,disgusted
1233,fearful
1234,neutral
1235,neutral
1236,surprised
1237,sad
1238,angry
1239,disgusted
1240,fearful
1241,happy
1242,neutral
1243,surprised
1244,sad
1245,angry
1246,disgusted
1247,fearful
1248,happy
1249,neutral
1250,surprised
1251,happy
1252,neutral
1253,disgusted
1254,fearful
1255,neutral
1256,neutral
1257,surprised
1258,sad
1259,angry
1260,disgusted
1261,neutral
1262,happy
1263,neutral
1264,surprised
1265,sad
1266,angry
1267,disgusted
1268,fearful
1269,happy
1270,neutral
1271,surprised
1272,sad
1273,angry
1274,disgusted
1275,fearful
1276,disgusted
1277,neutral
1278,surprised
1279,sad
1280,angry
1281,disgusted
1282,fearful
1283,happy
1284,neutral
1285,surprised
1286,sad
1287,angry
1288,disgusted
1289,fearful
1290,happy
1291,neutral
1292,angry
1293,sad
1294,angry
1295,disgusted
1296,fearful
1297,happy
1298,neutral
1299,surprised
1300,sad
1301,angry
1302,disgusted
1303,fearful
1304,happy
1305,neutral
1306,surprised
1307,happy
1308,angry
1309,disgusted
1310,fearful
1311,happy
1312,neutral
1313,surprised
1314,sad
1315,angry
1316,disgusted
1317,fearful
1318,happy
1319,neutral
1320,angry
1321,sad
1322,neutral
1323,disgusted
1324,fearful
1325,neutral
1326,neutral
1327,surprised
1328,sad
1329,angry
1330,disgusted
1331,fearful
1332,happy
1333,neutral
1334,surprised
1335,happy
1336,angry
1337,disgusted
1338,fearful
1339,happy
1340,neutral
1341,surprised
1342,sad
1343,angry
1344,disgusted
1345,fearful
1346,happy
1347,neutral
1348,surprised
1349,sad
1350,angry
1351,disgusted
1352,fearful
1353,happy
1354,neutral
1355,surprised
1356,sad
1357,angry
1358,disgusted
1359,fearful
1360,happy
1361,neutral
1362,surprised
1363,sad
1364,angry
1365,disgusted
1366,fearful
1367,happy
1368,neutral
1369,surprised
1370,happy
1371,neutral
1372,disgusted
1373,fearful
1374,neutral
1375,neutral
1376,surprised
1377,sad
1378,angry
1379,disgusted
1380,fearful
1381,happy
1382,neutral
1383,surprised
1384,sad
1385,angry
1386,disgusted
1387,neutral
1388,happy
1389,neutral
1390,surprised
1391,sad
1392,angry
1393,disgusted
1394,fearful
1395,happy
1396,neutral
1397,surprised
1398,happy
1399,neutral
1400,angry
1401,disgusted
1402,fearful
1403,happy
1404,neutral
1405,surprised
1406,sad
1407,angry
1408,disgusted
1409,fearful
1410,happy
1411,neutral
1412,angry
1413,sad
1414,angry
1415,disgusted
1416,fearful
1417,happy
1418,neutral
1419,surprised
1420,sad
1421,angry
1422,disgusted
1423,fearful
1424,happy
1425,neutral
1426,surprised
1427,happy
1428,neutral
1429,disgusted
1430,fearful
1431,neutral
1432,neutral
1433,angry
1434,sad
1435,angry
1436,disgusted
1437,fearful
1438,happy
1439,neutral
1440,surprised
1441,sad
1442,angry
1443,disgusted
1444,fearful
1445,happy
1446,neutral
1447,surprised
1448,sad
1449,angry
1450,disgusted
1451,fearful
1452,happy
1453,neutral
1454,angry
1455,sad
1456,angry
1457,disgusted
1458,neutral
1459,happy
1460,neutral
1461,surprised
1462,sad
1463,angry
1464,disgusted
1465,fearful
1466,happy
1467,neutral
1468,surprised
1469,sad
1470,angry
1471,disgusted
1472,fearful
1473,happy
1474,neutral
1475,happy
1476,sad
1477,neutral
1478,disgusted
1479,fearful
1480,neutral
1481,neutral
1482,surprised
1483,sad
1484,angry
1485,disgusted
1486,fearful
1487,happy
1488,neutral
1489,angry
1490,sad
1491,angry
1492,disgusted
1493,fearful
1494,happy
1495,neutral
1496,surprised
1497,sad
1498,angry
1499,disgusted
1500,fearful
1501,happy
1502,neutral
1503,surprised
1504,sad
1505,angry
1506,disgusted
1507,fearful
1508,happy
1509,neutral
1510,surprised
1511,sad
1512,neutral
1513,disgusted
1514,fearful
1515,neutral
1516,neutral
1517,surprised
1518,sad
1519,angry
1520,disgusted
1521,fearful
1522,happy
1523,neutral
1524,surprised
1525,sad
1526,angry
1527,disgusted
1528,fearful
1529,happy
1530,neutral
1531,surprised
1532,sad
1533,angry
1534,disgusted
1535,fearful
1536,happy
1537,neutral
1538,angry
1539,sad
1540,angry
1541,disgusted
1542,fearful
1543,happy
1544,neutral
1545,surprised
1546,sad
1547,angry
1548,disgusted
1549,fearful
1550,happy
1551,neutral
1552,surprised
1553,sad
1554,angry
1555,disgusted
1556,fearful
1557,happy
1558,neutral
1559,fearful
1560,sad
1561,angry
1562,disgusted
1563,fearful
1564,happy
1565,neutral
1566,surprised
1567,sad
1568,angry
1569,disgusted
1570,fearful
1571,happy
1572,neutral
1573,surprised
1574,sad
1575,angry
1576,disgusted
1577,fearful
1578,happy
1579,neutral
1580,angry
1581,disgusted
1582,angry
1583,disgusted
1584,fearful
1585,happy
1586,neutral
1587,disgusted
1588,sad
1589,angry
1590,disgusted
1591,fearful
1592,disgusted
1593,neutral
1594,angry
1595,sad
1596,angry
1597,disgusted
1598,fearful
1599,happy
1600,neutral
1601,surprised
1602,happy
1603,angry
1604,disgusted
1605,fearful
1606,happy
1607,neutral
1608,disgusted
1609,sad
1610,angry
1611,disgusted
1612,fearful
1613,happy
1614,neutral
1615,disgusted
1616,sad
1617,angry
1618,disgusted
1619,fearful
1620,happy
1621,neutral
1622,surprised
1623,disgusted
1624,angry
1625,disgusted
1626,fearful
1627,happy
1628,neutral
1629,surprised
1630,happy
1631,angry
1632,disgusted
1633,fearful
1634,happy
1635,neutral
1636,surprised
1637,disgusted
1638,angry
1639,disgusted
1640,fearful
1641,happy
1642,neutral
1643,surprised
1644,disgusted
1645,angry
1646,disgusted
1647,fearful
1648,happy
1649,neutral
1650,disgusted
1651,sad
1652,angry
1653,disgusted
1654,fearful
1655,happy
1656,neutral
1657,disgusted
1658,sad
1659,angry
1660,disgusted
1661,fearful
1662,happy
1663,neutral
1664,surprised
1665,sad
1666,angry
1667,disgusted
1668,fearful
1669,happy
1670,neutral
1671,surprised
1672,sad
1673,angry
1674,disgusted
1675,fearful
1676,happy
1677,neutral
1678,angry
1679,sad
1680,angry
1681,disgusted
1682,fearful
1683,happy
1684,neutral
1685,angry
1686,sad
1687,angry
1688,disgusted
1689,fearful
1690,happy
1691,neutral
1692,surprised
1693,sad
1694,angry
1695,disgusted
1696,fearful
1697,happy
1698,neutral
1699,surprised
1700,sad
1701,angry
1702,disgusted
1703,fearful
1704,disgusted
1705,neutral
1706,surprised
1707,sad
1708,angry
1709,disgusted
1710,fearful
1711,happy
1712,neutral
1713,angry
1714,sad
1715,angry
1716,disgusted
1717,fearful
1718,happy
1719,neutral
1720,angry
1721,sad
1722,angry
1723,disgusted
1724,fearful
1725,happy
1726,neutral
1727,surprised
1728,sad
1729,angry
1730,disgusted
1731,fearful
1732,happy
1733,neutral
1734,surprised
1735,sad
1736,angry
1737,disgusted
1738,fearful
1739,happy
1740,neutral
1741,surprised
1742,sad
1743,neutral
1744,disgusted
1745,fearful
1746,neutral
1747,neutral
1748,surprised
1749,sad
1750,angry
1751,disgusted
1752,fearful
1753,happy
1754,neutral
1755,angry
1756,sad
1757,angry
1758,disgusted
1759,fearful
1760,disgusted
1761,neutral
1762,surprised
1763,sad
1764,angry
1765,disgusted
1766,fearful
1767,happy
1768,neutral
1769,surprised
1770,sad
1771,neutral
1772,disgusted
1773,fearful
1774,neutral
1775,neutral
1776,surprised
1777,sad
1778,angry
1779,disgusted
1780,fearful
1781,happy
1782,neutral
1783,fearful
1784,sad
1785,angry
1786,disgusted
1787,fearful
1788,happy
1789,neutral
1790,surprised
1791,sad
1792,angry
1793,disgusted
1794,fearful
1795,happy
1796,neutral
1797,surprised
1798,happy
1799,angry
1800,disgusted
1801,fearful
1802,happy
1803,neutral
1804,surprised
1805,sad
1806,angry
1807,disgusted
1808,fearful
1809,happy
1810,neutral
1811,surprised
1812,sad
1813,angry
1814,disgusted
1815,fearful
1816,happy
1817,neutral
1818,surprised
1819,sad
1820,angry
1821,disgusted
1822,fearful
1823,happy
1824,neutral
1825,surprised
1826,sad
1827,angry
1828,disgusted
1829,fearful
1830,happy
1831,neutral
1832,surprised
1833,sad
1834,angry
1835,disgusted
1836,fearful
1837,happy
1838,neutral
1839,surprised
1840,sad
1841,angry
1842,disgusted
1843,fearful
1844,happy
1845,neutral
1846,surprised
1847,sad
1848,angry
1849,disgusted
1850,fearful
1851,happy
1852,neutral
1853,surprised
1854,sad
1855,angry
1856,disgusted
1857,fearful
1858,happy
1859,neutral
1860,surprised
1861,happy
1862,angry
1863,disgusted
1864,fearful
1865,happy
1866,neutral
1867,surprised
1868,sad
1869,angry
1870,disgusted
1871,fearful
1872,happy
1873,neutral
1874,angry
1875,sad
1876,neutral
1877,disgusted
1878,fearful
1879,neutral
1880,neutral
1881,surprised
1882,sad
1883,angry
1884,disgusted
1885,fearful
1886,happy
1887,neutral
1888,surprised
1889,disgusted
1890,angry
1891,disgusted
1892,fearful
1893,happy
1894,neutral
1895,surprised
1896,sad
1897,angry
1898,disgusted
1899,fearful
1900,happy
1901,neutral
1902,surprised
1903,sad
1904,neutral
1905,disgusted
1906,fearful
1907,neutral
1908,neutral
1909,surprised
1910,sad
1911,angry
1912,disgusted
1913,fearful
1914,happy
1915,neutral
1916,surprised
1917,sad
1918,angry
1919,disgusted
1920,fearful
1921,happy
1922,neutral
1923,surprised
1924,sad
1925,angry
1926,disgusted
1927,fearful
1928,happy
1929,neutral
1930,surprised
1931,sad
1932,angry
1933,disgusted
1934,fearful
1935,happy
1936,neutral
1937,surprised
1938,sad
1939,angry
1940,disgusted
1941,neutral
1942,happy
1943,neutral
1944,surprised
1945,sad
1946,angry
1947,disgusted
1948,fearful
1949,happy
1950,neutral
1951,surprised
1952,sad
1953,angry
1954,disgusted
1955,fearful
1956,happy
1957,neutral
1958,neutral
1959,sad
1960,angry
1961,disgusted
1962,fearful
1963,happy
1964,neutral
1965,surprised
1966,sad
1967,angry
1968,disgusted
1969,fearful
1970,disgusted
1971,neutral
1972,surprised
1973,sad
1974,neutral
1975,disgusted
1976,fearful
1977,neutral
1978,neutral
1979,angry
1980,sad
1981,neutral
1982,disgusted
1983,fearful
1984,neutral
1985,neutral
1986,surprised
1987,sad
1988,angry
1989,disgusted
1990,fearful
1991,happy
1992,neutral
1993,surprised
1994,sad
1995,angry
1996,disgusted
1997,fearful
1998,disgusted
1999,neutral
2000,surprised
2001,sad
2002,angry
2003,disgusted
2004,fearful
2005,happy
2006,neutral
2007,surprised
2008,sad
2009,angry
2010,disgusted
2011,fearful
2012,happy
2013,neutral
2014,surprised
2015,sad
2016,angry
2017,disgusted
2018,fearful
2019,happy
2020,neutral
2021,surprised
2022,sad
2023,angry
2024,disgusted
2025,fearful
2026,happy
2027,neutral
2028,angry
2029,sad
2030,angry
2031,disgusted
2032,neutral
2033,happy
2034,neutral
2035,surprised
2036,sad
2037,angry
2038,disgusted
2039,fearful
2040,happy
2041,neutral
2042,surprised
2043,sad
2044,angry
2045,disgusted
2046,fearful
2047,happy
2048,neutral
2049,surprised
2050,sad
2051,angry
2052,disgusted
2053,fearful
2054,happy
2055,neutral
2056,surprised
2057,sad
2058,angry
2059,disgusted
2060,fearful
2061,happy
2062,neutral
2063,surprised
2064,sad
2065,angry
2066,disgusted
2067,fearful
2068,happy
2069,neutral
2070,surprised
2071,sad
2072,angry
2073,disgusted
2074,fearful
2075,happy
2076,neutral
2077,surprised
2078,sad
2079,angry
2080,disgusted
2081,fearful
2082,happy
2083,neutral
2084,surprised
2085,happy
2086,angry
2087,disgusted
2088,fearful
2089,happy
2090,neutral
2091,surprised
2092,sad
2093,angry
2094,disgusted
2095,fearful
2096,happy
2097,neutral
2098,surprised
2099,sad
2100,angry
2101,disgusted
2102,fearful
2103,happy
2104,neutral
2105,surprised
2106,sad
2107,angry
2108,disgusted
2109,fearful
2110,happy
2111,neutral
2112,surprised
2113,sad
2114,angry
2115,disgusted
2116,fearful
2117,happy
2118,neutral
2119,surprised
2120,sad
2121,angry
2122,disgusted
2123,disgusted
2124,happy
2125,neutral
2126,surprised
2127,sad
2128,angry
2129,disgusted
2130,fearful
2131,disgusted
2132,neutral
2133,surprised
2134,sad
2135,neutral
2136,disgusted
2137,fearful
2138,neutral
2139,neutral
2140,surprised
2141,sad
2142,angry
2143,disgusted
2144,fearful
2145,happy
2146,neutral
2147,surprised
2148,sad
2149,angry
2150,disgusted
2151,fearful
2152,happy
2153,neutral
2154,surprised
2155,sad
2156,angry
2157,disgusted
2158,fearful
2159,happy
2160,neutral
2161,angry
2162,neutral
2163,angry
2164,disgusted
2165,fearful
2166,happy
2167,neutral
2168,neutral
2169,sad
2170,angry
2171,disgusted
2172,fearful
2173,happy
2174,neutral
2175,neutral
2176,sad
2177,angry
2178,disgusted
2179,fearful
2180,happy
2181,neutral
2182,neutral
2183,sad
2184,angry
2185,disgusted
2186,fearful
2187,happy
2188,neutral
2189,neutral
2190,sad
2191,angry
2192,disgusted
2193,fearful
2194,happy
2195,neutral
2196,neutral
2197,sad
2198,angry
2199,disgusted
2200,fearful
2201,happy
2202,neutral
2203,neutral
2204,sad
2205,angry
2206,disgusted
2207,fearful
2208,disgusted
2209,neutral
2210,angry
2211,sad
2212,angry
2213,disgusted
2214,fearful
2215,happy
2216,neutral
2217,surprised
2218,sad
2219,neutral
